ShortName	Item_Name	Item_Cost
1	CRI 1/2 TON CHAIN HOIST	0
2	CRI 1/2 TON HARDWARE	0
L149	20a (1) L14-20 M/F DISTRO CABLE 100'	0
L142	20a (1) L14-20 M/F DISTRO CABLE 25'	0
L145	20a (1) L14-20 M/F DISTRO CABLE 50'	0
EBY2	35MM CORD EBY 5 PIN 25' EXTENSION 	0
3DGP	FLAT PANEL ACSRY SAMSUNG 3D GLASSES SSG-2100AB	50
FDX6	FASTFOLD DELUXE BLACK DRESS 6'X8'	150
M40	CRI FLAT PANEL DISPLAY 40 (16:9) NEC M40 w/CPU	725
ISOT	AC ISO/REG TRANSFORMER 30a 120vac 1 SILVER CASE/CASTORS	50
114	SALE-OVERHEAD ACETATE SHEET	0
QMTF	ADAPT CORD 1/4M TO TA4F	0
XFTF	ADAPT CORD XLR/F TO TA4F/F	0
XMTM	ADAPT CORD XLR/M TO TA4F/M	0
ALTB	ALTSTAND BASE 	10
ALTU	ALTSTAND UPRIGHT 	0
MA12	AMPLIFIER CROWN MA 1200 	75
MA24	AMPLIFIER CROWN MA 2400 	85
MA60	AMPLIFIER CROWN MA 600 	65
AN1W	ANCHOR AN-1000X (WHITE) 	35
AN10	ANCHOR AN-1000X (BLACK)	35
ANBF	ANCHOR CLAMP BRACKET AND FEMALE MIC FLANGE 	0
ANLI	ANCHOR LIBERTY PA MAIN SPEAKER/AMP	100
ANLS	ANCHOR LIBERTY SATELITE SPEAKER 	25
ALS	ANCHOR LIBERTY STAND 	0
APRW	AUDIO SUB PROCESSOR RAMSA WS-SP2A	0
S120	AUDIO SNAKE: 12 X 0 X 50'	30
S163	AUDIO SNAKE: 16 X 3 X 100' 	49.5
S164	AUDIO SNAKE: 16 X 4 X 150' 	49.5
S24I	AUDIO SNAKE: 24 CH. TRS INSERT SNAKE (25') 	0
S244	AUDIO SNAKE: 24 X 4 X 150'	85
S3P1	AUDIO SNAKE: 3 X 0 X 125' 	0
S522	AUDIO SNAKE: 52 X 24 X 400' 	250
S603	AUDIO SNAKE: 6 X 0 X 30'  	15
S631	AUDIO SNAKE: 6 X 3 X 100'  	35
S842	AUDIO SNAKE: 8 X 4 X 200'	55
ATRT	AUDIO TEST AUDIO CONTROL RTA/MIC/RACK	0
ATSP	AUDIO TEST REALISTIC SPL METER	0
MS12	MIC/LINE SPLITTER 1X2,WHIRLWIND	10
MS13	MIC/LINE SPLITTER 1X3,WHIRLWIND	15
LIBS	AUDIO LINE BAL/ SPLITTER,WHIRLWIND 	10
MCBP	CLAMP MATTHEWS T BAR BABY PLATE TO 5/8   STUD    	0
SBK1	BANDING KIT / TOOLS/ BANDING	0
BD6	BARNDOOR 6 (LOW PROFILE)   	3
LBD3	BARNDOOR 3 FRESNEL	3
BD8F	BARNDOOR STRAND 8 FRESNEL	3
M46	CRI FLAT PANEL DISPLAY 46 (16:9) NEC M46 w/CPU	825
BNCS	BNC CABLE PATCH 9' OR LESS	0
BNC9	BNC CABLE PATCH 100'	0
BNC2	BNC CABLE PATCH 25'	0
BNC5	BNC CABLE PATCH 50'	0
BFBF	BNC/F ADAPT TO BNC/F BARREL	0
BFRM	BNC/F ADAPT TO RCA/M	0
BMTF	BNC/M ADAPT T TO BNC F/F	0
BMRF	BNC/M ADAPT TO RCA/F	0
402	BOSE 402 SPEAKER	45
402E	BOSE 402 E PROCESSOR	0
802	BOSE 802 SPEAKER	45
220	CRI BURLAP BAGS	0
ABBC	CAMERA BATTERY CHARGER ANTON BAUER LIFESAVER 	15
BELT	CAMERA BATTERY-ANTON BAUER BATTERY BELT 	25
3066	CAMERA TRIPOD BOGEN 3066 PROFLUID 	40
3067	CAMERA TRIPOD DOLLY  BOGEN 3067 	15
3046	CAMERA TRIPOD BOGEN 3046 MEDIUM (CAMCORDER)	25
BTTP	CAMERA TRIPOD BOGEN TABLE PLATE 	10
SPY	AC LIGHTING SERVICE PANEL #Y (CAMLOK X 3ct 80a 3/)	100
C250	CAMLOK 3 FEEDER SET  #2 50' 	45
C299	CAMLOK 3 FEEDER SET #2 100'  	65
C225	CAMLOK 3 FEEDER SET #2 25' 	35
C2O9	CAMLOK 3 FEEDER SET 2 100'  	75
C2O5	CAMLOK 3 FEEDER SET 2 50'  	55
C210	CAMLOK 3 FEEDER SET #2 10' 	20
C205	CAMLOK 3 FEEDER SET #2 5'  	20
C2O1	CAMLOK 3 FEEDER SET 2 10'  	25
CTIK	CAMLOK RED BOX TIE IN KIT  	0
