Location	Schedule	Semester
FF2	Monday 12:00 PM to 4:00 PM	1991 Spring
110	Monday 1:00 PM to 5:00 PM	2001 Fall
312	Monday 1:00 PM to 5:00 PM	2002 Fall
318	Monday 9:00 AM to 1:00 PM	1991 Spring
215	Monday 1:00 PM to 5:00 PM	2001 Fall
215	Monday 1:00 PM to 5:00 PM	2002 Fall
216	Monday 1:00 PM to 5:00 PM	2001 Fall
216	Monday 1:00 PM to 5:00 PM	2002 Fall
FF2	Monday 9:00 AM to 1:00 PM	1991 Spring
312	Monday 1:00 PM to 5:00 PM	2001 Fall
109	Monday 1:00 PM to 5:00 PM	2002 Fall
114	Monday 1:00 PM to 5:00 PM	2000 Winter
110	Monday 1:00 PM to 5:00 PM	2002 Winter
312	Monday 1:00 PM to 5:00 PM	2003 Winter
119	Monday 1:00 PM to 5:00 PM	2000 Winter
215	Monday 1:00 PM to 5:00 PM	2002 Winter
215	Monday 1:00 PM to 5:00 PM	2003 Winter
216	Monday 1:00 PM to 5:00 PM	2002 Winter
216	Monday 1:00 PM to 5:00 PM	2003 Winter
318	Monday 1:00 PM to 5:00 PM	2000 Winter
312	Monday 1:00 PM to 5:00 PM	2002 Winter
109	Monday 1:00 PM to 5:00 PM	2003 Winter
114	Mondays 1:00 PM to 5:00 PM	2000 Summer
001	Monday 1:00 PM to 5:00 PM	2002 Summer
119	Monday 1:00 PM to 5:00 PM	2000 Summer
318	Monday 1:00 PM to 5:00 PM	2002 Summer
114	Mondays 1:00 PM to 5:00 PM	1998 Summer
216	Monday 1:00 PM to 5:00 PM	2002 Summer
119	Monday 1:00 PM to 5:00 PM	1998 Summer
318	Monday 1:00 PM to 5:00 PM	2000 Summer
312	Monday 1:00 PM to 5:00 PM	2002 Summer
313	Tuesdays 1:00 PM to 5:00 PM	1995 Fall
FF2	Mondays 9:00 AM to 1:00 PM	1993 Spring
114	Monday 9:00 AM to 1:00 PM	1994 Fall
114	Mondays 9:00 AM to 1:00 PM	1995 Fall
119	Mondays 1:00 PM to 5:00 PM	1996 Fall
318	Monday 1:00 PM to 5:00 PM	1998 Fall
114	Monday 1:00 PM to 5:00 PM	1999 Fall
318	Mondays 9:00 AM to 1:00 PM	1995 Fall
318	Mondays 1:00 PM to 5:00 PM	1996 Fall
114	Mondays 1:00 PM to 5:00 PM	1997 Fall
119	Monday 1:00 PM to 5:00 PM	1998 Fall
119	Monday 1:00 PM to 5:00 PM	1999 Fall
114	Monday 1:00 PM to 5:00 PM	1994 Fall
318	Mondays 1:00 PM to 5:00 PM	1997 Fall
FF2	Mondays 1:00 PM to 5:00 PM	1993 Spring
318	Monday 1:00 PM to 5:00 PM	1994 Fall
318	Mondays 1:00 PM to 5:00 PM	1995 Fall
114	Mondays 1:00 PM to 5:00 PM	1996 Fall
119	Mondays 1:00 PM to 5:00 PM	1997 Fall
318	Monday 1:00 PM to 5:00 PM	1999 Fall
313	Tuesday 1:00 PM to 5:00 PM	1996 Winter
313	Mondays 9:00 AM to 1:00 PM	1993 Fall
114	Mondays 1:00 PM to 5:00 PM	1995 Spring
114	Monday 9:00 AM to 1:00 PM	1996 Spring
318	Monday 1:00 PM to 5:00 PM	1999 Winter
318	Monday 9:00 AM to 1:00 PM	1994 Fall
318	Mondays 9:00 AM to 1:00 PM	1995 Spring
318	Mondays 9:00 AM to 1:00 PM	1996 Spring
114	Monday 1:00 PM to 5:00 PM	1997 Winter
114	Monday 1:00 PM to 5:00 PM	1998 Winter
119	Monday 1:00 PM to 5:00 PM	1999 Winter
318	Monday 9:00 AM to 1:00 PM	1993 Fall
114	Mondays 9:00 AM to 1:00 PM	1995 Spring
318	Monday 1:00 PM to 5:00 PM	1998 Winter
FF1	Mondays 1:00 PM to 5:00 PM	1993 Fall
318	Mondays 1:00 PM to 5:00 PM	1995 Spring
318	Monday 1:00 PM to 5:00 PM	1996 Spring
318	Monday 1:00 PM to 4:00 PM	1997 Winter
119	Monday 1:00 PM to 5:00 PM	1998 Winter
313	Tuesday 1:00 PM to 4:00 PM	1996 Summer
318	Monday 1:00 PM to 5:00 PM	1999 Summer
119	Monday 1:00 PM to 5:00 PM	1999 Summer
FF1	Thursday 3:00 PM to 6:00 PM	1993 Fall
FF1	Thursdays 3:00 PM to 6:00 PM	1993 Spring
119	Thursday 6:00 PM to 9:00 PM	1994 Fall
313	Tuesday 3:00 PM to 6:00 PM	1996 Fall
318	Mondays 12:00 PM to 2:00 AM	1993 Summer
313	Mondays 9:00 AM to 12:00 PM	1994 Spring
313	Mondays 9:00 AM to 12:00 PM	1993 Spring
313	Monday 9:00 AM to 12:00 PM	1994 Fall
313	Monday 9:00 AM to 12:00 PM	1995 Fall
215	Tuesday 9:00 AM to 12:00 PM	2001 Fall
216	Tuesday 9:00 AM to 12:00 PM	2002 Winter
216	Tuesday 9:00 AM to 12:00 PM	2002 Summer
312	Tuesday 9:00 AM to 12:00 PM	2002 Fall
312	Tuesday 9:00 AM to 12:00 PM	2003 Winter
FF1	Wednesday 6:00 PM to 9:00 PM	1993 Fall
FF1	Monday 6:00 PM to 9:00 PM	1991 Spring
FF1	Wednesday 6:00 PM to 9:00 PM	1993 Spring
114	Wednesday 6:00 PM to 9:00 PM	1994 Fall
114	Wednesday 6:00 AM to 9:00 AM	1995 Spring
114	Wednesday 6:00 PM to 9:00 PM	1995 Fall
114	Wednesday 6:00 PM to 9:00 PM	1996 Spring
114	Wednesday 6:00 PM to 9:00 PM	1996 Fall
114	Wednesday 6:00 PM to 9:00 PM	1997 Spring
114	Wednesday 5:30 PM to 8:30 PM	1997 Fall
318	Wednesday 5:30 PM to 8:30 PM	1998 Winter
318	Wednesday 6:00 PM to 9:00 PM	1998 Summer
318	Wednesday 6:00 PM to 9:00 PM	1998 Fall
318	Wednesday 6:00 PM to 9:00 PM	1999 Winter
318	Wednesday 6:00 PM to 9:00 PM	1999 Summer
114	Thursday 6:00 PM to 9:00 PM	1999 Fall
318	Thursday 6:00 PM to 9:00 PM	2000 Winter
318	Thursday 6:00 PM to 9:00 PM	2000 Summer
109	Thursday 6:00 PM to 9:00 PM	2001 Fall
109	Thursday 6:00 PM to 9:00 PM	2002 Winter
216	Thursday 6:00 PM to 9:00 PM	2002 Summer
110	Thursday 6:00 PM to 9:00 PM	2002 Fall
216	Thursday 6:00 PM to 9:00 PM	2003 Winter
313	Tuesdays 9:00 AM to 12:00 PM	1995 Spring
313	Tuesday 9:00 AM to 12:00 PM	1996 Spring
FF2	Wednesday 6:00 PM to 9:00 PM	1993 Fall
FF2	Wednesdays 6:00 PM to 9:00 PM	1993 Spring
313	Wednesday 6:00 PM to 9:00 PM	1997 Spring
313	Wednesday 9:00 AM to 12:00 PM	1998 Summer
119	Mondays 9:00 AM to 12:00 PM	1995 Spring
313	Mondays 9:00 AM to 12:00 PM	1996 Spring
FF1	Tuesday 3:00 PM to 6:00 PM	1993 Fall
FF1	Tuesdays 3:00 PM to 6:00 PM	1993 Spring
FF2	Mondays and Wednesdays 9:00 AM to 12:00 PM	1994 Summer
105	Thursday 9:00 AM to 12:00 PM	1994 Fall
318	Thursday 3:00 PM to 6:00 PM	1995 Spring
114	Friday 9:00 AM to 12:00 PM	1996 Fall
313	 9:00 AM to 12:00 PM	1997 Spring
318	Wednesday 12:00 PM to 3:00 PM	1999 Summer
318	Wednesday 1:00 PM to 4:00 PM	2000 Summer
109	Wednesday 1:00 PM to 4:00 PM	2002 Summer
114	Fridays 9:00 AM to 12:00 PM	1996 Spring
114	Wednesday 1:00 PM to 4:00 PM	1999 Summer
114	Wednesday 1:00 PM to 4:00 PM	2000 Summer
110	Wednesday 1:00 PM to 4:00 PM	2002 Summer
114	Wednesday 12:00 PM to 3:00 PM	1995 Fall
114	Friday 9:00 AM to 12:00 PM	1995 Fall
114	Thursday 1:00 PM to 4:00 PM	1996 Summer
FF1	Wednesday 9:00 AM to 12:00 PM	1993 Fall
FF1	Mondays 3:00 PM to 6:00 PM	1994 Spring
FF1	Thursdays 12:00 PM to 3:00 PM	1993 Spring
318	Tuesday 3:00 PM to 6:00 PM	1996 Spring
318	Wednesday 1:00 PM to 4:00 PM	1998 Fall
114	Wednesday 1:00 PM to 4:00 PM	1999 Winter
114	Wednesday 1:00 PM to 4:00 PM	1999 Fall
114	Tuesday 9:00 AM to 12:00 PM	2000 Winter
109	Tuesday 9:00 AM to 12:00 PM	2002 Winter
114	Wednesday 9:00 AM to 12:00 PM	1995 Spring
110	Tuesday 9:00 AM to 12:00 PM	2002 Winter
114	Thursday 3:00 PM to 6:00 PM	1995 Spring
318	Tuesday 9:00 AM to 12:00 PM	2000 Winter
119	Thursday 12:00 PM to 3:00 PM	1997 Spring
119	Thursday 3:00 PM to 6:00 PM	1995 Spring
FF1	Tuesday 9:00 AM to 12:00 PM	1993 Spring
318	Tuesday 9:00 AM to 12:00 PM	1994 Fall
318	Tuesday 9:00 AM to 12:00 PM	1995 Fall
114	Tuesday 1:00 PM to 4:00 PM	1999 Winter
FF1	Thursday 3:00 PM to 6:00 PM	1991 Spring
FF2	Tuesday 9:00 AM to 12:00 PM	1993 Spring
114	Wednesday 12:00 PM to 3:00 PM	1994 Fall
114	Wednesday 9:00 AM to 12:00 PM	1995 Fall
119	Mondays 9:00 AM to 12:00 PM	1996 Spring
114	Mondays and Thursdays 9:00 AM to 12:00 PM	1996 Summer
114	Thursday 9:00 AM to 12:00 PM	1996 Fall
313	Monday 12:00 PM to 3:00 PM	1997 Spring
318	Wednesday 9:00 AM to 12:00 PM	1995 Spring
FF2	Tuesdays 12:00 PM to 3:00 PM	1994 Spring
318	Wednesday 9:00 AM to 12:00 PM	1994 Fall
215	Wednesday 1:00 PM to 4:00 PM	2002 Summer
313	Wednesday 9:00 AM to 12:00 PM	1991 Spring
313	Wednesday 9:00 AM to 12:00 PM	1993 Spring
315	Wednesday 9:00 AM to 12:00 PM	1996 Fall
313	Thursday 9:00 AM to 12:00 PM	2002 Winter
315	Wednesday 9:00 AM to 12:00 PM	1993 Fall
315	Wednesday 9:00 AM to 12:00 PM	1994 Fall
313	Wednesday 9:00 AM to 12:00 PM	1995 Spring
315	Wednesday 9:00 AM to 12:00 PM	1995 Fall
